2026-04-08 23:50:09,615 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:09,852 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:10,093 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:10,334 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:10,674 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:50:20,699 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:50:30,718 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:50:40,668 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:40,740 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:50:40,912 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:41,148 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:41,383 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:41,615 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:50:50,765 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:00,788 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:10,817 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:11,938 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:12,179 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:12,419 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:12,658 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:12,897 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:20,843 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:30,860 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:40,889 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:51:43,188 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=ETHUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:43,426 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:43,663 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BNBUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:43,905 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=SOLUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:44,147 | httpx                     | INFO    | HTTP Request: GET https://testnet.binance.vision/api/v3/ticker/bookTicker?symbol=BTCUSDT "HTTP/1.1 200 OK"
2026-04-08 23:51:50,911 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:52:00,931 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-04-08 23:52:10,957 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
