INFO:     Started server process [611303]
INFO:     Waiting for application startup.
2026-03-24 10:41:30,633 | httpx                     | INFO    | HTTP Request: GET https://api-fxpractice.oanda.com/v3/accounts/your-oanda-account-id/summary "HTTP/1.1 400 Bad Request"
2026-03-24 10:41:30,634 | app.services.trading.oanda_connector | ERROR   | OANDA connect failed: 400 {"errorMessage":"Invalid value specified for 'accountID'"}
2026-03-24 10:41:30,634 | app.services.trading.trading_service | WARNING | Trading: failed to connect to OANDA
2026-03-24 10:41:30,634 | app.services.trading.trading_service | INFO    | Trading service started with 1 platform(s): Binance Testnet
2026-03-24 10:41:31,000 | app.services.health_monitor | INFO    | Health monitor started
2026-03-24 10:41:36,882 | app.services.cloudflare_tunnel | INFO    | Cloudflare tunnel active: https://exercise-databases-sent-gibraltar.trycloudflare.com
2026-03-24 10:41:36,882 | app.main                  | INFO    | Dashboard available at: https://exercise-databases-sent-gibraltar.trycloudflare.com
2026-03-24 10:41:36,983 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/sendMessage "HTTP/1.1 200 OK"
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
INFO:     127.0.0.1:45502 - "GET /health HTTP/1.1" 200 OK
2026-03-24 10:41:39,505 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:41:49,523 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:41:59,543 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:42:08,896 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:42:09,128 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/sendMessage "HTTP/1.1 200 OK"
2026-03-24 10:42:18,921 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
2026-03-24 10:42:28,938 | httpx                     | INFO    | HTTP Request: POST https://api.telegram.org/bot8580235228:AAEacZODAbCD2EMTxL--bmfB1Dv22Su7RYs/getUpdates "HTTP/1.1 200 OK"
